model,roc_auc,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,false_negative_rate
LOGISTIC REGRESSION WITHOUT L2,0.6355155284382331,0.4774774774774775,0.023337736679876705,0.04450041981528128,18025,58,2218,53,0.9766622633201233
LOGISTIC REGRESSION WITH L2,0.6440350774535336,0.4782608695652174,0.019374724790841038,0.03724079559881507,18035,48,2227,44,0.980625275209159
